Title,Time,Giá ,Diện tích ,Địa chỉ tài sản,Mã tin,Loại tin,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Pháp lý,Số lầu,Số phòng ngủ
Mặt Phố Bà Triệu. HĐ. 57m x 7T. MT4m. Kinh Doanh Sầm Uất giá 16 tỷ 5, Hôm qua, 16.5 tỷ , 57 m2, Phố Bà Triệu. Phường Nguyễn Trãi. Quận Hà Đông. Hà Nội Đường Bà Triệu. Phường Nguyễn Trãi. Quận Hà Đông. Hà Nội,9816665,Cần bán,Nhà mặt tiền,4m,14.25m,_,12m,Sổ hồng/ Sổ đỏ,7,4
Nhà 3 tầng mới xây 1.4 tỷ bao tên ở Hà Đông-Sổ đỏ tên tôi, Hôm qua, 1.4 tỷ , 31 m2, Đường Lê Trọng Tấn. Phường Dương Nội. Quận Hà Đông. Hà Nội,3233915,Cần bán,Nhà trong hẻm,4m,---,Đông Nam,3m,Sổ hồng/ Sổ đỏ,3,3
Nhà 3 tầng 1 tỷ 120 triệu gần Bến xe Yên Nghĩa - Hà Đông-rẻ nhất Hà Nội, Hôm qua, 1.12 tỷ , 30 m2, Đường Biên Giang. Phường Biên Giang. Quận Hà Đông. Hà Nội,9338909,Cần bán,Nhà trong hẻm,4m,8m,Đông Nam,3m,Sổ hồng/ Sổ đỏ,3,3
Bán gấp nhà phố Kim Mã trước tết 5 tỷ 8 trăm dòng tiền 600tr/năm., Hôm qua, 5.8 tỷ , 50 m2, Đường Kim Mã. Phường Kim Mã. Quận Ba Đình. Hà Nội,9814735,Cần bán,Nhà trong hẻm,4.2m,10m,_,3m,Sổ hồng/ Sổ đỏ,5,9
💥 💥 Bán Đất Đào Tấn Ba Đình 47m C4  5 m  mặt tiền 5.05 tỷ, Hôm qua, 5.05 tỷ , 47 m2, Đường Đào Tấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,9809404,Cần bán,Nhà trong hẻm,---,---,_,3m,Sổ hồng/ Sổ đỏ,1,1
❤️ Nhà xuân thuỷ Cầu Giấy 47m 5 tầng 4 m mặt tiền 6.35 tỷ, Hôm qua, 6.35 tỷ , 47 m2, Đường Xuân Thủy. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9809583,Cần bán,Nhà trong hẻm,---,---,_,3m,Sổ hồng/ Sổ đỏ,5,9
💥 Nhà Đào Tấn Ba Đình 26m 4 tầng 3.4m mặt tiền 3 tỷ, Hôm qua, 3 tỷ , 26 m2, Nhà Đào Tấn Ba Đình Đường Đào Tấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,9815647,Cần bán,Nhà trong hẻm,---,---,_,3m,Sổ hồng/ Sổ đỏ,4,3
PHỐ VĂN CAO BA ĐÌNH 100m Đất 6m mặt tiền 39.8 TỶ., Hôm qua, 39.8 tỷ , 100 m2, Nhà Văn Cao Phố Văn Cao. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,8644427,Cần bán,Nhà mặt tiền,---,---,_,80m,Sổ hồng/ Sổ đỏ,3,4
❤️ Vọng Hà Hoàn Kiếm 40/50m 3.5 Tầng Mặt Tiền 11m 5 tỷ, Hôm qua, 5 tỷ , 45 m2, Nhà Vọng Hà Hoàn Kiếm Đường Vọng Hà. Phường Chương Dương Độ. Quận Hoàn Kiếm. Hà Nội,9094267,Cần bán,Nhà trong hẻm,---,---,_,3m,Sổ hồng/ Sổ đỏ,3,3
Bán Gấp nhà Mới Về Ở Luôn 39m  4T  3.9 tỷ Kim Mã Ảnh Thật  Sổ Vuông Cách phố 65m, Hôm qua, 3.9 tỷ , 39 m2, Đường Kim Mã. Phường Kim Mã. Quận Ba Đình. Hà Nội,9814956,Cần bán,Nhà mặt tiền,---,---,_,2.5m,---,4,3
💥Cần bán tòa nhà tại p Nguyễn Du-Gần Hồ Thuyền Quang, Hôm qua, 65 tỷ , 150 m2, Phố Nguyễn Thượng Hiền. Phường Nguyễn Du. Quận Hai Bà Trưng. Hà Nội,8885172,Cần bán,Nhà mặt tiền,7m,21m,_,8m,Sổ hồng/ Sổ đỏ,10,15
Bán Gấp Nhà Ngõ 68 Cầu Giấy 56m  5T  Giá 4.45 Tỷ Sổ Đỏ Vuông. 2 Mặt Thoáng, Hôm qua, 4.45 tỷ , 56 m2, Đường Cầu Giấy. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,9814826,Cần bán,Nhà trong hẻm,4m,---,_,3m,---,5,6
Bán Gấp Nhà Ngõ 173 Hoàng Hoa Thám 42m  5T  Giá 4.6 Tỷ Lô Góc. Ô Tô . Kinh Doanh, Hôm qua, 4.6 tỷ , 42 m2, Đường Hoàng Hoa Thám. Phường Ngọc Hà. Quận Ba Đình. Hà Nội,9814778,Cần bán,Nhà trong hẻm,4.3m,---,_,4m,---,5,6
bán nhà số 59 ngõ 193 phú diễn 59m2 nhà 3 tầng giá 5.3 tỷ, Hôm nay, 5.3 tỷ , 59 m2, Đường Phú Diễn. Phường Phú Diễn. Quận Bắc Từ Liêm. Hà Nội,9460243,Cần bán,Nhà mặt tiền,5m,12m,Đông,4m,Sổ hồng/ Sổ đỏ,3,3
Chủ nhà cần tiền bán gấp nhà đường Láng 30m2- mặt tiền 5.8m- giá 3.3 tỷ, Hôm qua, 3.3 tỷ , 30 m2, Đường Láng. Phường Láng Thượng. Quận Đống Đa. Hà Nội,9814654,Cần bán,Nhà trong hẻm,5.8m,---,_,2m,Sổ hồng/ Sổ đỏ,5,3
BÁN NHÀ 3 TẦNG MỚI XÂY Ô TÔ ĐỖ CỬA  1.5 TỶ  HÀ ĐÔNG, Hôm qua, 1.5 tỷ , 31 m2, Đường Lê Trọng Tấn. Phường Yên Nghĩa. Quận Hà Đông. Hà Nội,7100031,Cần bán,Nhà mặt tiền,4m,8m,Đông Nam,3m,Sổ hồng/ Sổ đỏ,3,3
Định Công 35m² mặt tiền 5m nhà mới 5 tầng 3.6 tỷ về ở luôn, Hôm qua, 3.6 tỷ , 35 m2, Đường Định Công. Phường Định Công. Quận Hoàng Mai. Hà Nội,9814068,Cần bán,Nhà trong hẻm,5m,7m,_,3m,---,5,3
Nhà đẹp Trích Sài_ 40M_5 tầng_Mặt tiền 4.3m_ 3.95 TỶ_ ngõ thông ba gác, 08/01/2022, 3.95 tỷ , 40 m2, Phố Trích Sài. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,9607244,Cần bán,Nhà trong hẻm,4.3m,9m,_,3m,Sổ hồng/ Sổ đỏ,5,3
CHÍNH CHỦ CẦN BÁN NHÀ MẶT NGÕ LỚN PHỐ THÁI THỊNH. DT 75M2., 08/01/2022, 17.8 tỷ , 75 m2, Phố Thái Thịnh. Quận Đống Đa. Hà Nội,9637125,Cần bán,Nhà trong hẻm,---,---,_,---,---,---,---
